teamID,year_of_win,year_of_first_win,year_team_began,is_first_win,home_attendance,prior_3year_attendance,next_year_attendance
NY1,1905,1888,1883,false,7272,6047,5371
CHA,1906,1906,1901,true,7408,6187,8434
CHN,1907,1907,1876,true,5560,6397,8530
PIT,1909,1909,1887,true,6858,4744,5745
PHA,1910,1910,1901,true,7550,7482,8077
BOS,1912,1903,1901,false,7655,7242,5829
BSN,1914,1914,1876,true,4847,1922,4824
CHA,1917,1906,1901,false,8665,7430,3484
CIN,1919,1919,1890,true,7607,2963,7378
CLE,1920,1920,1901,true,11703,6282,9723
NY1,1921,1888,1883,false,12322,8405,11972
NYA,1923,1923,1903,true,13251,13657,13507
WS1,1924,1924,1901,true,7396,5262,10753
PIT,1925,1909,1887,false,10446,8355,10108
SLN,1926,1926,1892,true,8461,5043,9367
PHA,1929,1910,1901,false,11340,9535,9496
SLN,1931,1926,1892,false,7802,7779,3534
NY1,1933,1888,1883,false,7850,9821,9745
DET,1935,1935,1901,true,13100,6618,11376
CIN,1940,1919,1890,false,11041,8171,8146
SLN,1942,1926,1892,false,7097,5220,6384
DET,1945,1935,1901,false,16847,9014,21805
CLE,1948,1920,1901,false,33172,11654,29010
NY1,1954,1888,1883,false,15198,12548,10432
BRO,1955,1955,1890,true,13423,14554,15761
ML1,1957,1957,1953,true,28403,25839,25599
PIT,1960,1909,1887,false,21870,14474,15573
SLN,1964,1926,1892,false,14115,12859,15323
BAL,1966,1966,1954,true,15232,10687,12403
DET,1968,1935,1901,false,25085,13550,19475
NYN,1969,1969,1962,true,26529,21821,32896
PIT,1971,1909,1887,false,18764,11421,18301
OAK,1972,1972,1968,true,11965,10150,12355
CIN,1975,1919,1890,false,28588,22795,32466
NYA,1977,1923,1903,false,25964,18236,28838
PIT,1979,1909,1887,false,17722,13924,20330
PHI,1980,1980,1883,true,32736,32427,29795
LAN,1981,1959,1958,false,42523,38194,44554
SLN,1982,1926,1892,false,26073,17848,28616
BAL,1983,1966,1954,false,25211,20592,25257
DET,1984,1935,1901,false,32985,21405,28230
KCA,1985,1985,1969,true,26375,25216,28652
NYN,1986,1969,1962,false,34168,21662,37458
MIN,1987,1987,1961,true,25703,16406,37416
LAN,1988,1959,1958,false,36793,37716,36354
OAK,1989,1972,1968,false,32929,20418,35805
CIN,1990,1919,1890,false,29641,24549,29289
TOR,1992,1992,1977,true,49732,42771,50098
ATL,1995,1995,1966,true,35581,39066,35818
NYA,1996,1923,1903,false,28136,25844,32254
FLO,1997,1997,1993,true,29190,28937,21363
ARI,2001,2001,1998,true,33783,39392,39494
ANA,2002,2002,1997,true,28464,27285,37330
FLO,2003,1997,1993,false,16089,14479,21539
BOS,2004,1903,1901,false,35028,32674,35159
CHA,2005,1906,1901,false,28924,22571,36511
SLN,2006,1926,1892,false,42589,38610,43854
PHI,2008,1980,1883,false,42254,36190,44453
NYA,2009,1923,1903,false,45918,52187,46491
SFN,2010,2010,1958,true,37499,37282,41819
SLN,2011,1926,1892,false,38197,42067,40273
BOS,2013,1903,1901,false,34979,37673,36495
KCA,2015,1985,1969,false,33439,22134,31577
CHN,2016,1907,1876,false,39906,34249,39501
HOU,2017,2017,1962,true,29675,24271,36797
